"Country","World.region","survey","year","Nutrition","Child.mortality","Years.of.schooling","School.attendance","Cooking.fuel","Sanitation","Drinking.water","Electricity","Housing","Assets","Sample.size"
"Suriname","Latin America and the Caribbean","MICS","2010",5.58507405221462,NA,12.7264961600304,2.25662849843502,11.4722475409508,18.689538538456,5.04189655184746,5.3921066224575,6.2742754817009,5.28493896126747,25645
"Syria","Arab States","PAPFAM","2009",17.4840345978737,6.15100748836994,8.01691934466362,11.2173542380333,0.202426151372492,10.3272572159767,10.3255242109299,0.315334089100361,6.89951628446579,1.5789058059454,126605
"Tajikistan","Europe and Central Asia","DHS","2017",25.5441576242447,3.75208966434002,0.284383702091873,11.3508105278015,19.4789737462997,3.02922409027815,25.9270757436752,0.713457446545363,56.7573130130768,1.29932574927807,44020
"Tanzania","Sub-Saharan Africa","DHS","2015-2016",31.6844433546066,6.32208660244942,12.3776361346245,27.2358685731888,96.401435136795,79.9046635627747,59.0357720851898,80.1618695259094,62.5268995761871,30.9699058532715,61784
"TFYR of Macedonia","Europe and Central Asia","MICS","2011",1.79195944219828,NA,3.10520641505718,2.39126868546009,33.7177664041519,7.21075609326363,0.93024168163538,0.361828878521919,5.83601593971252,0.423931470140815,15936
"Thailand","East Asia and the Pacific","MICS","2015-2016",3.68136502802372,2.05294340848923,11.8852771818638,1.09771089628339,21.4947104454041,2.7645381167531,1.92292146384716,0.33241044729948,3.62935252487659,0.574778718873859,103561
"Timor-Leste","East Asia and the Pacific","DHS","2016",49.5016068220139,4.07306514680386,17.0254722237587,16.2349283695221,86.4087998867035,46.2463885545731,25.9152323007584,23.6318752169609,65.2068614959717,37.6948207616806,60299
"Togo","Sub-Saharan Africa","DHS","2013-2014",27.7689844369888,8.57523679733276,28.1898766756058,16.9680267572403,94.2734301090241,85.6000959873199,50.2929151058197,59.084540605545,46.5884178876877,24.9145060777664,22636
"Trinidad and Tobago","Latin America and the Caribbean","MICS","2011",3.62334400415421,4.65967543423176,5.37666231393814,0.712663028389216,0.0215027263038792,5.66418990492821,1.66173186153173,2.10972689092159,12.5455111265183,0.928869470953941,16701
"Tunisia","Arab States","MICS","2011-2012",3.84921990334988,0.730904703959823,8.91623571515083,2.64009181410074,0.42246850207448,6.78487941622734,7.11072161793709,0.63242195174098,1.11655704677105,1.92701853811741,37466
"Turkmenistan","Europe and Central Asia","MICS","2015-2016",10.6025449931622,2.23662964999676,0.0246367970248684,0.472936546429992,0,1.40400566160679,17.3963233828545,0.0345846201526001,2.28263679891825,0.0235220082686283,28651
"Uganda","Sub-Saharan Africa","DHS","2016",33.3362251520157,5.84003627300262,22.9803383350372,14.2605870962143,98.1638312339783,78.0528008937836,60.8273565769196,72.164249420166,68.65394115448,31.6819936037064,28693
"Ukraine","Europe and Central Asia","MICS","2012",NA,0.148008577525616,1.21056893840432,0.214071059599519,5.0719615072012,2.33012847602367,2.49262675642967,0.0785840791650116,3.94743569195271,0.293941400013864,33631
"Vanuatu","East Asia and the Pacific","MICS","2007",18.9520850777626,8.13003852963448,7.07318037748337,19.4236427545548,86.1311912536621,52.6789486408234,16.3492634892464,66.2814140319824,55.1218807697296,67.8480923175812,10642
"Vietnam","East Asia and the Pacific","MICS","2013-2014",NA,0.882819946855307,8.55502635240555,2.37894188612699,41.3091272115707,20.7206472754478,8.09317454695702,0.786469969898462,12.5353902578354,2.37794164568186,38785
"Yemen","Arab States","DHS","2013",52.6877343654633,5.30059561133385,18.5650423169136,31.5015554428101,35.580313205719,53.459370136261,44.0982580184937,21.6117158532143,82.6201617717743,19.282577931881,116544
"Zambia","Sub-Saharan Africa","DHS","2013-2014",36.4269942045212,7.08254873752594,13.6898666620255,23.1011807918549,89.2343401908875,72.6412892341614,48.0506062507629,73.0087101459503,58.7646484375,29.9145430326462,79625
"Zimbabwe","Sub-Saharan Africa","DHS","2015",24.5702728629112,4.52803857624531,4.43867184221745,6.54292702674866,72.8209972381592,60.1458847522736,44.3249762058258,70.0137376785278,37.9214555025101,27.7747303247452,41278
